lad_code_2020,total_beds_ltla
E06000001,884
E06000002,1823
E06000003,1414
E06000004,1971
E06000005,1230
E06000006,839
E06000007,1974
E06000008,1085
E06000009,1722
E06000010,2340
E06000011,4555
E06000012,1754
E06000013,2004
E06000014,1530
E06000015,2193
E06000016,2894
E06000017,420
E06000018,2100
E06000019,2138
E06000020,1211
E06000021,2455
E06000022,1700
E06000023,2958
E06000024,2911
E06000025,2202
E06000026,2449
E06000027,2101
E06000030,1293
E06000031,1326
E06000032,1129
E06000033,1975
E06000034,753
E06000035,1623
E06000036,464
E06000037,1009
E06000038,842
E06000039,465
E06000040,1598
E06000041,1420
E06000042,1464
E06000043,2131
E06000044,1147
E06000045,1547
E06000046,1927
E06000047,5200
E06000049,4258
E06000050,3049
E06000051,3599
E06000052,5235
E06000053,14
E06000054,4905
E06000055,1660
E06000056,1843
E06000057,3462
E06000058,4721
E06000059,3902
E06000060,4499
E07000008,741
E07000009,665
E07000010,976
E07000011,1154
E07000012,1099
E07000026,1032
E07000027,548
E07000028,881
E07000029,502
E07000030,283
E07000031,1178
E07000032,1349
E07000033,822
E07000034,1120
E07000035,682
E07000036,1102
E07000037,818
E07000038,900
E07000039,858
E07000040,1865
E07000041,991
E07000042,582
E07000043,956
E07000044,811
E07000045,1493
E07000046,734
E07000047,677
E07000061,1839
E07000062,1481
E07000063,1076
E07000064,1869
E07000065,1935
E07000066,1064
E07000067,1613
E07000068,800
E07000069,672
E07000070,996
E07000071,1637
E07000072,1325
E07000073,363
E07000074,519
E07000075,458
E07000076,2260
E07000077,734
E07000078,1390
E07000079,963
E07000080,717
E07000081,1201
E07000082,1157
E07000083,590
E07000084,1221
E07000085,1608
E07000086,1261
E07000087,1318
E07000088,745
E07000089,694
E07000090,1197
E07000091,2633
E07000092,735
E07000093,1149
E07000094,1444
E07000095,378
E07000096,990
E07000098,1332
E07000099,1361
E07000102,791
E07000103,792
E07000105,1042
E07000106,1982
E07000107,815
E07000108,1441
E07000109,590
E07000110,1459
E07000111,1136
E07000112,1563
E07000113,1035
E07000114,1589
E07000115,692
E07000116,1246
E07000117,943
E07000118,1156
E07000119,1297
E07000120,915
E07000121,1349
E07000122,700
E07000123,1516
E07000124,555
E07000125,872
E07000126,945
E07000127,1354
E07000128,1308
E07000129,550
E07000130,1538
E07000131,657
E07000132,876
E07000133,414
E07000134,565
E07000135,616
E07000136,645
E07000137,1925
E07000138,1031
E07000139,1168
E07000140,954
E07000141,1324
E07000142,1208
E07000143,1774
E07000144,1808
E07000145,965
E07000146,1419
E07000147,1420
E07000148,961
E07000149,1292
E07000150,453
E07000151,756
E07000152,975
E07000153,990
E07000154,1875
E07000155,697
E07000156,676
E07000163,655
E07000164,713
E07000165,2326
E07000166,368
E07000167,393
E07000168,1424
E07000169,498
E07000170,1676
E07000171,1355
E07000172,1160
E07000173,1050
E07000174,1091
E07000175,1244
E07000176,1123
E07000177,1339
E07000178,709
E07000179,1122
E07000180,1080
E07000181,1235
E07000187,1291
E07000188,1361
E07000189,1645
E07000192,677
E07000193,1188
E07000194,1096
E07000195,1052
E07000196,1057
E07000197,1329
E07000198,873
E07000199,394
E07000200,1093
E07000202,1011
E07000203,814
E07000207,1673
E07000208,492
E07000209,978
E07000210,1177
E07000211,2211
E07000212,1003
E07000213,684
E07000214,1415
E07000215,1257
E07000216,1759
E07000217,812
E07000218,825
E07000219,838
E07000220,972
E07000221,1468
E07000222,1369
E07000223,557
E07000224,2611
E07000225,1580
E07000226,399
E07000227,1609
E07000228,1565
E07000229,1856
E07000234,1283
E07000235,1291
E07000236,350
E07000237,697
E07000238,1225
E07000239,1010
E07000240,1080
E07000241,1054
E07000242,1379
E07000243,578
E07000244,2742
E07000245,1584
E07000246,2214
E08000001,1810
E08000002,1844
E08000003,2568
E08000004,1782
E08000005,1656
E08000006,1460
E08000007,2325
E08000008,1639
E08000009,1712
E08000010,2262
E08000011,1103
E08000012,3484
E08000013,1365
E08000014,3762
E08000015,3608
E08000016,2339
E08000017,2421
E08000018,2295
E08000019,4408
E08000021,2638
E08000022,1712
E08000023,1294
E08000024,2483
E08000025,7520
E08000026,2080
E08000027,2397
E08000028,2168
E08000029,2043
E08000030,1828
E08000031,2405
E08000032,4183
E08000033,1442
E08000034,3535
E08000035,5574
E08000036,2760
E08000037,2028
E09000001,0
E09000002,719
E09000003,2528
E09000004,1570
E09000005,1174
E09000006,1562
E09000007,459
E09000008,3058
E09000009,1613
E09000010,1765
E09000011,901
E09000012,331
E09000013,442
E09000014,484
E09000015,1220
E09000016,1834
E09000017,1491
E09000018,819
E09000019,565
E09000020,358
E09000021,1153
E09000022,1097
E09000023,1031
E09000024,925
E09000025,653
E09000026,1362
E09000027,944
E09000028,597
E09000029,1471
E09000030,352
E09000031,939
E09000032,1406
E09000033,466
